Categoria,Imagen,Codigo,Nombre,Cantidad,Precio,Cantidad 2,Precio 2,Cantidad 3,Precio 3,imagenhot,imagensp,,https://www.herramientasyconexiones.com/productos/m/1673631333-59.jpg
Plomeria,https://www.herramientasyconexiones.com/productos/m/1589841652-33.jpg,TOMA12,Abrazadera para toma de agua 2 pulg x 1/2pulg de salida ,1 ó más,35.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1589842023-113.jpg,TOMA34,Abrazadera para toma de agua 2 pulg x 3/4 pulg de salida ,1 ó más,36.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1622296650-70.jpg,ADAPLAV112,Adaptador lavadero salida 1 1/2 pulg ,1 ó más,7.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1622296741-18.jpg,ADAPLAV2,Adaptador lavadero salida 2 pulg ,1 ó más,7.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1723218340-117.jpg,73042,Boton push para desague , 1 a 11,30.20, 12  a 23,28.40, 24 o más,26.90,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/Brida-para-tinaco-364242.jpg,brida,Brida para tinaco ,1 ó más,19.10,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1718307522-145.jpg,68015,CALENTADOR INSTANTANEO 4 lts ,1 ó más,1221.00,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1653084511-90.jpg,CELAV,Carton empaques LAVABO 30 pzas ,1 ó más,94.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1653084602-65.jpg,CELLA,Carton empaques LLAVE NARIZ 30 pzas ,1 ó más,94.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1653084305-122.jpg,CEMIX,Carton empaques MIXTO 30 pzas ,1 ó más,94.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1653084451-22.jpg,CEREG,Carton empaques REGADERA 30 pzas ,1 ó más,94.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1653084752-104.jpg,CETAR,Carton empaques TARJA 30 pzas ,1 ó más,94.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744825014-49.jpg,CESC12,Cespol flexible fregadero 1.5pulg , 1 a 11,29.00, 12 o más,26.90,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196812-115.jpg,GUSANO,CESPOL FLEXIBLE MULTIFORMAS DOS CHUPONES ,1 ó más,16.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196586-13.jpg,CESFFRE,Cespol flexible para fregadero con bote ,1 ó más,35.00,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196722-2.jpg,CESLE,Cespol flexible para lavabo ,1 ó más,26.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196491-49.jpg,CESFLAV,Cespol flexible para lavabo con bote ,1 ó más,31.20,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668200369-92.jpg,CESFCON,CESPOL PARA FREGADERO CON CONTRACANASTA ,1 ó más,41.30,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1705416906-110.jpg,F1920,Cespol para fregadero con Contracanasta ALTA RESISTENCIA , 1 a 11,56.30, 12 o más,51.80,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196661-132.jpg,CESFE,CESPOL PARA FREGADERO SIN CONTRACANASTA ,1 ó más,28.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1735233642-83.jpg,2219,Cespol para lavabo multiformas con casquillo inoxidable ,1 ó más,27.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1768922803-39.jpg,60615,Cespol plast. cromado MULTIUSOS , 1 a 11,24.90, 12  a 23,23.40, 24 o más,22.30,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1627134495-131.jpg,60603,Cespol plast. cromado para fregadero con contracanasta mixta , 1 a 11,48.80, 12  a 23,45.90, 24 o más,43.70,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1751037322-138.jpg,61535,Cespol plast. cromado para lavabo con desague tipo moneda , 1 a 11,43.60, 12  a 23,41.00, 24 o más,39.10,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1768922939-95.jpg,60617,Cespol plast. cromado para lavabo PUSH y ANTI OLORES , 1 a 11,85.90, 12  a 23,80.80, 24 o más,76.90,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1751314093-110.jpg,60607,Cespol plast. cromado para lavabo TAPON PUSH , 1 a 11,59.60, 12  a 23,56.10, 24 o más,53.50,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1768923013-124.jpg,60612,Cespol plast. NEGRO con tapon sin reboce , 1 a 11,66.10, 12  a 23,62.20, 24 o más,59.30,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1738880143-125.jpg,CGNC3838,CG niple campana 3 8x3 8 tropicalizado paq 25 pzas ,1 ó más,215.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1738879309-23.jpg,CGNT3838,CG niple terminal 3 8x3 8 tropicalizado paq 25 pzas ,1 ó más,224.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/CG-niple-union-3-8x3-8-tropicalizado-paq-50-pzas-611688.jpg,CGNU3838,CG niple union 3/8x3/8 tropicalizado paq 25 pzas ,1 ó más,187.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1738879505-27.jpg,CGPPRC,CG punta pool rosca corta  tropicalizado ,1 ó más,12.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/2049330956-135.jpg,CGPPRL,CG punta pool rosca larga  tropicalizado ,1 ó más,27.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/CG-tuerca-conica-3-8-enlatonada-paq-50-pzas-561546.jpg,CGTC38,CG tuerca conica 3/8 latonada paq 25 pzas ,1 ó más,207.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1760046974-71.jpg,35424,CG Valvula control de gas 3 8x1 2 ,1 ó más,35.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848441-8.jpg,chup,Chupon para bebedero acero inoxidable con filtro ,1 ó más,29.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1778181168-65.jpg,E001,Coladera acero inox 10x10 cms , 1 a 11,26.10, 12  a 23,24.60, 24 o más,23.40,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1760124147-145.jpg,C113B,Coladera universal reforzada BLANCA ,1 ó más,15.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/452703245-125.jpg,C113C,Coladera universal reforzada CROMADA ,1 ó más,15.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1760124118-35.jpg,C113N,Coladera universal reforzada NEGRA ,1 ó más,15.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848448-139.jpg,hembra,Conexión hembra de ½  Paquete con 50 pzas ,1 ó más,162.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1611094709-31.jpg,HEMB,Conexión hembra latonada 1 /2 c/empaque , 1 a 99,8.90, 100 o más,7.90,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1712342946-48.jpg,70010,contracanasta mixta para fregadero , 1 a 11,23.90, 12  a 23,22.50, 24 o más,21.40,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1730475470-34.jpg,70011,Contracanasta para fregadero de metal , 1 a 11,40.20, 12  a 23,37.70, 24 o más,35.90,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/Empaque--para-caja-asiento-WC-2--699417.jpg,empwc,Empaque  para caja asiento WC 2 ,1 ó más,4.70,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/452703226-51.jpg,hule1,Empaque hule  11/2x  1pulg paquete 25 pzas ,1 ó más,67.20,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/452703231-113.jpg,hule3,Empaque hule  2 x  1 1/2pulg paquete 25 pzas ,1 ó más,67.20,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/452703227-149.jpg,hule2,Empaque hule  2 x  1 1/4pulg paquete 25 pzas ,1 ó más,67.20,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1748706437-75.jpg,3590,Flotador de contrapeso  3 mts , 1 a 5,95.00, 6 o más,91.20,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/452703236-50.jpg,HERR2,Herraje para wc tradicional 2 pulgadas ,1 ó más,49.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1778170254-134.jpg,36314,Kit empaques para llave de empotrar , 1 a 11,5.50, 12  a 23,4.70, 24 o más,4.40,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1590019582-26.jpg,KITIN,Kit para tinaco valv flot multic ,1 ó más,58.00,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1778098755-7.jpg,P0998,Lija para plomero 5 mts grano 120 , 1 a 11,16.60, 12  a 23,15.70, 24 o más,14.90,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/Llave--Nariz-----926224.jpg,llavna,Llave  Naríz ½  ,1 ó más,11.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1571953280-96.jpg,69796,Llave de esfera nariz con conexion hembra 1 2 pulg , 1 a 35,22.80, 36  a 99,21.50, 100 o más,20.40,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1737501073-26.jpg,33302,Llave de nariz 1 2 pulg LARGA  20 cm , 1 a 5,31.10, 6  a 11,29.20, 12 o más,27.80,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1599158680-111.jpg,LLAV1605,Llave de nariz 1 2pulg , 1 a 99,21.30, 100 o más,19.30,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1677167113-92.jpg,70048,Llave de nariz cromada 1 2pulg , 1 a 23,28.30, 24 o más,26.70,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1680117895-39.jpg,70049,Llave de nariz cromada 1/2pulg con rosca , 1 a 11,29.60, 12  a 23,27.80, 24 o más,26.50,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1769037986-94.jpg,LLAV2026,Llave de nariz plastica con hembra ,1 ó más,10.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196914-124.jpg,LLAVPA12,LLave de paso plastica 1/2 ,1 ó más,12.20,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196949-132.jpg,LLAVPA34,LLave de paso plastica 3 4 ,1 ó más,14.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1756404516-123.jpg,21255,Manguera alimentadora en T 55 cm 1/2x1/2x1/2 , 1 a 11,34.20, 12  a 23,32.20, 24 o más,30.70,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744916239-90.jpg,1255,Manguera alimentadora para fregadero 55 cm , 1 a 11,14.50, 12  a 23,13.70, 24 o más,13.10,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744916239-90.jpg,12403,Manguera alimentadora para lavabo 40 cm , 1 a 11,14.50, 12  a 23,13.70, 24 o más,13.10,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744916239-90.jpg,78353,Manguera alimentadora para WC 35 cm , 1 a 11,14.50, 12  a 23,13.70, 24 o más,13.10,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1776206244-9.jpg,123480,Manguera para boiler 80 cm  1/2x3/4 , 1 a 5,55.00, 6  a 11,51.80, 12 o más,49.30,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1776206244-9.jpg,343480,Manguera para boiler 80 cm  3/4x3/4 , 1 a 5,54.00, 6  a 11,50.80, 12 o más,48.40,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744654980-65.jpg,APM2,Manguera para gas alta presion 2 mts , 1 a 9,64.20, 10 o más,61.50,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744654980-65.jpg,APM3,Manguera para gas alta presion 3 mts , 1 a 9,73.20, 10 o más,70.20,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744654980-65.jpg,APM5,Manguera para gas alta presion 5 mts , 1 a 9,95.30, 10 o más,91.30,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744653952-2.jpg,MAG1,Manguera para gas metalica 1 mt , 1 a 9,33.90, 10 o más,32.60,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744653952-2.jpg,MAG3,Manguera para gas metalica 3 mt , 1 a 9,54.80, 10 o más,52.60,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744653952-2.jpg,MAG5,Manguera para gas metalica 5 mt , 1 a 9,78.30, 10 o más,75.10,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1769037366-146.jpg,MAFRE,Manguerilla aluminio-nylon para FREGADERO instafacil , 1 a 11,10.80, 12  a 23,10.00, 24 o más,9.60,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1769037366-146.jpg,MALAV,Manguerilla aluminio-nylon para LAVABO instafacil , 1 a 11,10.80, 12  a 23,10.00, 24 o más,9.60,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1769037366-146.jpg,MAWC,Manguerilla aluminio-nylon para WC instafacil , 1 a 11,10.80, 12  a 23,10.00, 24 o más,9.60,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1621888540-114.jpg,MULTIR,Multiconector cuarto vta. mayor flujo ALTA CALIDAD ,1 ó más,39.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1776207304-110.jpg,70061,Palanca para wc , 1 a 23,10.40, 24  a 47,9.80, 48 o más,9.30,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1758901962-46.jpg,PT01,Parche para tinaco 10 X18 CMS MULTIUSOS ,1 ó más,34.70,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/452703232-141.jpg,sapo,Pera o sapo WC , 1 a 23,18.70, 24  a 47,17.60, 48 o más,16.70,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609010883-100.jpg,700591,Pichancha 1/2p , 1 a 5,33.20, 6  a 11,31.30, 12 o más,29.80,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609010504-84.jpg,700593,Pichancha 1p , 1 a 11,81.20, 12  a 23,76.40, 24 o más,72.70,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1635446834-139.jpg,PVP34,Pichancha plastica    3/4p , 1 a 47,24.90, 48 o más,20.40,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1650986024-10.jpg,PVP1,Pichancha plastica 1pulg , 1 a 47,44.60, 48 o más,41.40,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196195-57.jpg,PIJWC,PIJA PARA WC pieza ,1 ó más,3.95,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848433-80.jpg,adape12,qAdaptador  con cuerda exterior de 1 /2¨. Paquete con 50 pzas ,1 ó más,120.00,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848435-110.jpg,adape34,qAdaptador con cuerda exterior de 3/4¨ Paquete con 50 pzas ,1 ó más,149.30,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848436-126.jpg,adapi12,qAdaptador cuerda interior ½  Paquete con 50 pzas ,1 ó más,128.20,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848437-104.jpg,adapi34,qAdaptador cuerda interior ¾ .  Paquete con 50 pzas ,1 ó más,156.30,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848438-91.jpg,adapi1,qAdaptador cuerda interior 1  Paquete con 25 pzas ,1 ó más,118.20,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848445-50.jpg,coin12,qCodo inserción de ½  Paquete con 50 pzas ,1 ó más,128.20,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848446-78.jpg,coin34,qCodo inserción de ¾  Paquete con 50 pzas ,1 ó más,156.30,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848447-83.jpg,coin1,qCodo inserción de 1  Paquete con 25 pzas ,1 ó más,133.20,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1659628785-114.jpg,COP1,qCople roscado 1 PAQUETE DE 25 PZAS ,1 ó más,92.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1571321891-62.jpg,COP12,qCople roscado 1/2 PAQUETE DE 50 PZAS ,1 ó más,156.00,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1571321962-17.jpg,COP34,qCople roscado 3 4 PAQUETE DE 50 PZAS ,1 ó más,163.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848451-116.jpg,nipin12,qNiple  Inserción de ½  Paquete con 50 pzas ,1 ó más,120.00,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848452-129.jpg,nipin34,qNiple de inserción ¾   Paquete con 50 pzas ,1 ó más,171.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848453-125.jpg,nipin1,qNiple inserción 1  Paquete con 25 pzas ,1 ó más,109.70,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848454-61.jpg,tee12,qTee inserción ½  Paquete con 50 pzas ,1 ó más,143.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848455-12.jpg,tee1,qTee inserción 1  Paquete con 25 pzas ,1 ó más,151.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848456-144.jpg,tee34,qTee inserción de  ¾   Paquete con 50 pzas ,1 ó más,178.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1633009628-127.jpg,QC12,Regulador de gas baja presion con ESPIGA , 1 a 11,70.70, 12  a 23,66.50, 24 o más,63.30,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1633009788-121.jpg,QC15,Regulador de gas baja presion con NIPLE , 1 a 11,72.70, 12  a 23,68.40, 24 o más,65.20,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1768945313-142.jpg,QC16,Regulador de gas baja presion sin niple , 1 a 5,73.20, 6 o más,67.90,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1657030677-36.jpg,QC17,Regulador de gas con conexiones , 1 a 11,87.70, 12  a 23,82.50, 24 o más,78.60,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1741446272-110.jpg,70211,Regulador para gas baja presion FUMETAX , 1 a 11,81.80, 12  a 23,76.90, 24 o más,73.30,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1682532784-105.jpg,1655,Regulador PIGTAIL 55 cms con maneral INSTAFACIL , 1 a 5,69.60, 6  a 11,65.40, 12 o más,62.30,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196369-122.jpg,C073,SOPORTE ALUMINIO PARA LAVABO UNIVERSAL ,1 ó más,43.10,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196314-96.jpg,SOPLAM,SOPORTE PARA LAVABO LÁMINA JUEGO DOS PZAS ,1 ó más,8.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1768862858-35.jpg,45171,TERMOFUSORA 600W CON TRES DADOS  1 2  3 4 Y 1 PULG  Y ESTUCHE MET  ,1 ó más,359.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1760047148-112.jpg,35451,Termopar , 1 a 5,54.70, 6  a 11,51.40, 12 o más,49.00,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196261-36.jpg,PIJAC,TORNILLO DE ACOPLADO PIEZA ,1 ó más,6.10,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744905975-122.jpg,70102,Valfula de esfera soldable 1/2 pulg , 1 a 11,53.60, 12  a 23,50.40, 24 o más,48.00,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1747424998-71.jpg,70043,Valvula angular de barril , 1 a 11,30.80, 12  a 23,29.00, 24 o más,27.60,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
